timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01T00:00:00Z,39900.0,40100.0,39800.0,40000.0,1.5,60000.0
2024-01-01T01:00:00Z,40000.0,40200.0,39900.0,40100.0,2.0,80200.0
2024-01-01T02:00:00Z,40100.0,40300.0,40000.0,40200.0,1.2,48240.0
2024-01-01T03:00:00Z,40200.0,40300.0,40100.0,40150.0,3.0,120450.0
2024-01-01T04:00:00Z,40150.0,40400.0,40100.0,40300.0,2.5,100750.0
2024-01-01T05:00:00Z,40300.0,40300.0,39900.0,40000.0,1.8,72000.0
2024-01-01T06:00:00Z,40000.0,40100.0,39800.0,39900.0,2.2,87780.0
2024-01-01T07:00:00Z,39900.0,40000.0,39700.0,39800.0,1.5,59700.0
2024-01-01T08:00:00Z,39800.0,40300.0,39750.0,40200.0,4.0,160800.0
2024-01-01T09:00:00Z,40200.0,40600.0,40100.0,40500.0,3.5,141750.0
2024-01-01T10:00:00Z,40500.0,40700.0,40400.0,40600.0,2.8,113680.0
2024-01-01T11:00:00Z,40600.0,40650.0,40300.0,40400.0,2.0,80800.0
2024-01-01T12:00:00Z,40400.0,40500.0,40200.0,40300.0,1.5,60450.0
2024-01-01T13:00:00Z,40300.0,40350.0,40000.0,40100.0,2.5,100250.0
2024-01-01T14:00:00Z,40100.0,40300.0,40000.0,40200.0,1.9,76380.0
